"filename", "language", "Markdown", "JSON with Comments", "JSON", "YAML", "PowerShell", "JavaScript", "TypeScript", "Makefile", "TypeScript JSX", "Ignore", "Docker", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.claude\settings.local.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.github\workflows\ci.yml", "YAML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 42
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.mcp.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.prettierrc", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarn\releases\yarn-4.10.3.cjs", "JavaScript", 0, 0, 0, 0, 0, 857, 0, 0, 0, 0, 0, 0, 5, 81, 943
"c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarnrc.yml", "YAML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\CLAUDE.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\Users\kiria\Desktop\fullstack\shopping_mall\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 19, 21, 87
"c:\Users\kiria\Desktop\fullstack\shopping_mall\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 12, 28, 104
"c:\Users\kiria\Desktop\fullstack\shopping_mall\README.md", "Markdown", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 322
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\.spec.swcrc", "JSON with Comments", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\jest.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 4, 25
